,questions
0,¿Cuál es el objetivo del Código Penal de la Nación Argentina?
1,¿Bajo qué circunstancias se aplicará este código?
2,¿Qué sucede si la ley vigente al momento de cometerse un delito es distinta a la que existe al pronunciarse el fallo?
3,¿Cómo se debe calcular la prisión preventiva según el artículo 3º?
4,¿A qué delitos se aplicarán las disposiciones generales del código?
5,¿Cuáles son las penas establecidas en el Código Penal?
6,¿En qué condiciones se cumplirá la pena de reclusión?
7,¿Qué tipo de trabajo realizarán los recluidos en los establecimientos destinados al efecto?
8,¿Qué sucede con los hombres débiles o enfermos y los mayores de sesenta años que merecen reclusión?
9,¿Qué determinará la dirección del establecimiento en cuanto al trabajo especial para los hombres débiles o enfermos y los mayores de sesenta años?
10,¿Qué efecto tiene la suspensión del juicio a prueba en relación a las reglas de prejudicialidad del Código Civil?
11,¿Cómo se deben contar los plazos mencionados en el Código Penal?
12,"¿A quiénes se refiere el término ""funcionario público"" en el código?"
13,"¿Qué se entiende por ""mercadería"" según el código?"
14,"¿Qué sustancias están incluidas en la categoría de ""estupefacientes"" según el código?"
15,"¿Cuál es la definición de ""establecimiento rural"" según la Ley N° 23.737 en Argentina?"
16,"¿Qué actividades se consideran dentro del término ""establecimiento rural"" según la Ley N° 23.737?"
17,¿Cuándo se incorporó el párrafo mencionado en la Ley N° 25.890?
18,"¿Qué actividades se mencionan específicamente como parte del término ""establecimiento rural"" en la Ley N° 25.890?"
19,¿Cuál es el objetivo principal de la Ley N° 23.737 en relación con los establecimientos rurales?
20,"¿Cuál es la definición de ""documento"" según el código penal de la República Argentina?"
21,"¿Qué términos se incluyen en la definición de ""firma"" y ""suscripción"" según la ley mencionada?"
22,"¿Qué términos se incluyen en la definición de ""instrumento privado"" y ""certificado"" según la ley mencionada?"
23,"¿Qué se considera como ""violencia"" según el código penal?"
24,¿Cuál es la pena establecida para el delito de homicidio en el código penal?
25,¿Qué condiciones deben cumplirse para que se imponga la pena de reclusión perpetua o prisión perpetua por el delito de homicidio?
26,¿Cuáles son las circunstancias agravantes para el delito de homicidio según el código penal?
27,¿Qué implica el inciso 8° del artículo 80 del código penal en relación con el delito de homicidio?
28,¿Cuándo se incorporó el inciso 8° del artículo 80 del código penal y qué establece?
29,¿Cuál es el título y capítulo del código penal que aborda los delitos contra las personas?
30,¿Qué sucede cuando se satisface una multa según el artículo 22 del Código Penal de la República Argentina?
31,¿Bajo qué circunstancias se puede agregar una multa a una pena privativa de libertad según el artículo 22 bis?
32,¿Qué sucede con las cosas utilizadas para cometer un delito y las ganancias obtenidas del mismo según el artículo 23?
33,¿En qué casos se puede ordenar el decomiso de cosas peligrosas para la seguridad común según el artículo 23?
34,¿Qué sucede con los bienes decomisados y el producido de las multas impuestas según el artículo 23?
35,¿Cuáles son las medidas cautelares que puede adoptar el juez desde el inicio de las actuaciones judiciales?
36,¿Qué bienes o derechos patrimoniales pueden ser objeto de decomiso en relación a los delitos investigados?
37,¿Cuál es el alcance de las medidas cautelares destinadas a hacer cesar la comisión del delito o sus efectos?
38,¿Qué derechos se deben dejar a salvo en todos los casos de medidas cautelares?
39,¿Cómo se computa la prisión preventiva según el artículo 24?
